Identificador da campanha,Nome da campanha,ID da conta do anunciante,Produto de anúncio,Intervalo de datas,Moeda do orçamento,Parcela de impressões no topo da pesquisa,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas
"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,0.0000%,91,1,1.0989%,0.69000,0.69,0.00,0.00000,0,0
"=""108685489444736""",campanha automática individual- SP-FF-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,0.0198%,144,0,0.0000%,,0.00,0.00,,0,0
"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,11 de ago. de 2026 - 6 de set. de 2026,BRL,40.9222%,1469,17,1.1572%,1.50647,25.61,265.80,10.37876,1,2
"=""110098529654524""",Campanha de Palavra-Chave- PG3070-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 9 de ago. de 2026,BRL,28.5714%,6,0,0.0000%,,0.00,0.00,,0,0
"=""113980823359011""",Campanha de Palavra-Chave- P3050-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,6.8592%,146,0,0.0000%,,0.00,0.00,,0,0
"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,12 de ago. de 2026 - 6 de set. de 2026,BRL,7.8156%,1342,4,0.2981%,0.62750,2.51,0.00,0.00000,0,0
"=""123525465502040""",campanha de palavra chave- P3060-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,6.1728%,80,1,1.2500%,2.52000,2.52,0.00,0.00000,0,0
"=""126822188430843""",Campanha de Produto Indicado- L2450--CZ-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 11 de ago. de 2026,BRL,14.5455%,173,1,0.5780%,0.89000,0.89,0.00,0.00000,0,0
"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,8 de ago. de 2026 - 6 de set. de 2026,BRL,79.6610%,272,4,1.4706%,0.71500,2.86,203.54,71.16783,1,1
"=""129369277028930""",Campanha de Palavra-Chave- L2470-CZ-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,9 de ago. de 2026 - 10 de ago. de 2026,BRL,50.0000%,5,0,0.0000%,,0.00,0.00,,0,0
